Day,Temperature,Humidity,Wind_Speed,Building_Type,Employee_Count,Holiday,Energy_Consumption
103,5.09,10.18,8.28,2,189,1,237.53
349,34.21,46.88,18.18,0,0,1,81.71
271,22.5,61.18,27.96,2,786,1,438.15
107,29.89,77.11,10.56,1,886,0,424.22
72,4.46,14.06,33.05,0,0,1,10.0
189,39.84,13.66,6.19,0,0,0,139.16
21,-2.96,84.94,22.12,1,939,0,370.48
103,38.1,26.1,6.03,2,880,0,507.33
122,35.1,65.06,30.71,1,425,0,324.53
215,17.59,21.75,23.8,2,849,1,418.18
331,19.26,82.09,40.79,0,0,0,111.43
88,28.75,69.84,20.9,0,0,0,146.99
100,5.34,14.36,26.85,2,663,1,327.58
360,16.37,31.78,34.02,0,0,0,87.09
152,35.12,87.58,0.84,0,0,0,154.28
131,-6.59,77.7,46.32,1,971,0,367.14
150,35.28,13.81,27.07,0,0,1,82.46
309,26.44,34.58,48.52,1,272,0,247.23
258,28.49,36.31,6.17,1,137,1,203.39
344,-6.76,48.38,17.85,0,0,0,62.68
294,-0.61,32.07,5.49,0,0,0,31.67
192,36.26,76.35,19.27,0,0,0,159.79
277,-3.8,47.67,4.45,0,0,1,15.28
161,21.56,11.0,8.81,1,547,1,254.17
314,29.13,41.16,5.64,0,0,0,128.13
22,1.56,57.44,29.05,2,266,0,326.79
253,24.94,62.74,29.6,0,0,0,126.87
236,-6.72,17.71,35.99,2,328,0,299.19
345,14.94,49.78,35.18,1,269,0,251.35
49,6.72,44.43,36.93,2,175,0,305.25
59,22.29,24.08,45.72,2,545,0,413.34
170,34.45,24.42,8.53,1,670,0,371.16
188,-3.73,87.84,42.5,0,0,1,21.94
271,12.52,43.08,43.33,1,80,1,151.05
190,11.16,61.22,22.69,2,20,0,303.71
175,6.19,26.5,5.84,2,292,0,331.07
51,14.01,86.52,2.87,0,0,1,70.8
364,34.04,85.74,32.0,1,835,0,432.6
55,38.68,73.48,25.1,2,303,0,413.55
244,-9.86,44.89,38.61,1,720,0,280.74
320,26.95,43.22,41.41,0,0,0,107.93
131,20.75,81.18,4.17,1,487,0,333.76
307,39.73,79.5,16.03,1,61,0,276.09
135,-5.5,83.97,21.25,1,844,1,281.53
21,30.57,31.86,22.93,2,489,1,352.81
329,36.7,62.97,1.23,1,180,0,294.38
167,35.61,63.74,20.32,2,16,0,355.04
274,18.03,38.8,17.91,0,0,0,109.92
89,6.38,17.56,2.49,1,290,0,226.72
316,22.0,18.35,10.92,1,473,1,241.42
14,5.3,77.43,33.77,2,561,1,343.93
242,10.61,37.34,16.74,1,753,0,340.06
265,12.29,81.23,40.08,2,309,0,383.19
346,5.1,32.9,11.19,2,156,0,323.73
53,7.09,26.21,25.34,0,0,0,79.61
340,-9.63,41.43,40.88,1,610,0,273.85
92,4.85,67.92,24.2,0,0,0,77.47
264,13.62,59.62,49.97,1,925,0,380.13
35,-1.35,22.01,26.82,2,514,0,355.73
206,30.28,88.49,10.01,2,773,0,489.63
81,16.88,88.27,36.91,2,727,1,418.96
50,29.69,31.75,30.15,2,373,1,333.04
360,-3.59,52.41,31.2,0,0,0,56.7
2,31.03,28.21,17.63,0,0,0,109.07
54,37.91,89.37,13.2,0,0,0,159.85
106,7.62,37.86,10.75,2,614,0,404.37
260,4.2,82.16,3.85,2,949,0,506.29
310,22.34,44.32,16.84,0,0,0,104.65
191,21.8,67.3,3.9,0,0,0,117.38
218,-4.38,82.43,21.7,0,0,0,72.72
44,36.34,59.7,10.29,2,357,0,420.08
162,13.95,28.47,37.7,0,0,1,20.95
202,28.22,73.81,18.24,1,536,0,344.18
270,7.97,82.71,28.07,0,0,0,79.75
351,3.08,17.13,38.77,0,0,0,69.71
304,-4.44,39.87,16.38,2,913,0,440.49
271,3.73,89.41,14.5,0,0,1,40.87
215,39.67,62.15,5.21,1,857,0,447.43
252,22.9,23.93,0.95,0,0,0,111.99
190,30.14,77.45,27.34,2,853,0,505.37
296,37.93,47.69,28.26,0,0,0,161.91
213,-6.05,78.95,19.13,2,849,0,464.93
208,-1.77,71.08,16.03,1,527,0,285.75
237,36.4,67.77,48.63,0,0,0,139.26
338,18.23,31.62,3.68,0,0,0,104.45
53,21.74,54.68,9.7,2,90,0,324.32
280,11.38,78.42,37.74,2,662,0,435.5
217,30.72,78.34,10.58,1,884,1,373.96
252,15.86,23.64,35.59,2,610,0,385.87
188,31.31,42.09,46.9,1,952,0,404.58
41,39.61,46.79,36.19,2,159,0,380.71
157,22.34,48.47,40.21,0,0,1,53.39
15,16.44,46.63,39.39,2,845,0,475.33
301,8.26,17.68,20.19,2,170,0,311.19
65,-0.27,82.28,7.9,2,533,1,343.56
345,22.83,72.52,10.39,0,0,0,130.6
327,-6.87,44.51,46.71,1,970,0,351.0
9,37.81,86.1,4.01,0,0,0,172.95
344,22.38,53.31,18.74,1,541,0,318.31
129,37.97,14.64,31.27,2,303,0,395.85
136,3.61,45.45,8.7,0,0,0,65.75
63,37.33,26.51,6.91,2,847,0,500.45
139,20.61,89.85,30.93,0,0,0,136.5
81,30.51,19.92,43.62,0,0,0,118.57
163,-1.05,34.5,46.01,2,83,0,263.0
289,15.01,64.26,34.23,0,0,0,119.56
261,18.45,27.87,35.76,1,674,0,317.9
231,9.64,18.98,46.91,2,867,0,437.73
41,2.66,40.87,19.44,1,453,0,265.21
28,35.24,81.64,48.73,2,535,0,459.74
135,-5.75,56.17,15.27,2,5,1,224.96
201,-2.3,69.66,18.17,2,165,0,317.84
328,6.03,32.8,38.02,2,545,0,388.3
268,35.99,81.43,35.74,2,512,0,464.94
33,18.21,54.86,18.52,1,333,0,273.66
48,8.66,38.31,2.4,1,699,0,329.68
62,10.13,62.41,31.72,0,0,0,88.64
216,31.89,42.56,30.15,1,119,0,251.58
293,-8.66,32.18,44.18,2,62,1,204.27
99,-9.43,71.34,14.94,2,760,0,424.59
172,-7.7,18.62,45.6,2,652,1,305.18
360,13.46,63.11,28.64,1,397,0,290.86
214,19.06,52.03,10.83,0,0,0,123.88
35,21.22,51.09,19.63,1,830,1,331.93
227,26.56,37.4,10.06,1,594,0,349.6
101,-0.51,32.0,23.05,0,0,0,69.27
131,3.11,65.22,23.63,1,303,0,237.52
257,2.18,74.87,39.64,2,814,0,448.87
5,-2.54,40.9,37.14,1,479,0,262.58
218,2.22,21.54,29.1,0,0,0,63.74
255,20.68,11.72,27.34,2,998,0,475.57
359,8.32,56.38,34.5,0,0,0,82.38
283,28.4,30.0,7.41,1,842,0,398.27
207,16.82,43.03,29.29,1,449,0,281.57
15,0.6,54.58,45.52,1,933,0,354.98
346,13.37,67.89,15.29,0,0,0,105.41
42,19.67,43.88,1.18,1,742,0,356.07
179,33.31,66.2,0.22,1,318,0,300.48
63,31.69,83.08,1.63,1,116,0,275.0
352,11.32,32.19,37.31,0,0,0,71.45
231,22.38,65.76,43.28,0,0,0,125.97
241,4.89,34.32,0.18,2,675,0,427.65
52,21.65,15.44,34.69,2,405,0,367.08
96,35.64,16.62,15.08,2,25,0,314.34
222,21.23,66.19,19.51,0,0,0,110.75
231,5.19,21.94,46.13,2,489,0,353.16
237,22.2,89.72,34.35,2,461,0,418.06
143,35.14,53.49,26.76,2,132,0,369.63
171,-3.15,35.0,24.34,0,0,1,10.0
29,14.12,58.42,28.05,2,955,0,504.74
36,6.05,17.21,11.65,1,63,0,181.62
13,2.07,14.23,34.21,1,753,0,313.56
160,9.81,52.97,5.95,1,280,0,236.72
327,9.7,24.35,39.79,2,629,1,339.96
187,0.52,15.8,12.33,2,365,1,274.11
243,10.18,60.23,0.0,0,0,0,102.02
86,21.69,45.91,37.18,0,0,1,61.49
284,-8.71,49.77,41.52,2,23,0,239.88
66,39.46,71.15,37.85,2,844,0,516.16
170,4.8,65.05,14.47,0,0,0,79.43
45,21.18,74.44,8.1,0,0,1,85.79
62,4.18,17.07,0.87,2,919,1,382.9
134,9.68,16.58,3.95,0,0,0,64.43
284,17.46,56.17,19.18,0,0,0,94.98
28,20.59,83.83,14.22,1,292,0,284.83
108,28.52,69.69,46.11,1,605,0,343.81
44,29.58,66.11,11.4,2,909,0,509.57
340,15.94,38.32,26.06,1,693,1,293.49
286,-6.21,55.53,47.91,2,177,0,276.44
331,17.89,65.69,21.72,2,242,0,363.13
128,13.88,50.43,45.02,0,0,0,97.75
348,0.77,28.45,38.92,0,0,0,61.72
231,-9.49,64.31,16.89,0,0,0,47.13
190,5.8,51.22,33.79,1,313,1,178.55
225,2.97,30.0,14.71,1,495,0,279.92
283,14.15,52.22,15.43,2,272,0,331.83
121,28.08,37.43,34.47,1,624,0,345.9
116,11.95,15.34,27.13,2,331,0,337.89
233,37.58,47.79,0.36,2,668,0,491.59
259,1.07,87.51,41.02,0,0,0,79.62
359,1.05,29.93,5.09,1,875,1,289.35
198,20.22,45.28,31.87,1,127,1,169.42
137,34.81,75.72,31.78,0,0,0,139.45
318,23.59,85.99,13.02,1,46,0,255.17
165,23.68,14.47,0.29,2,413,0,411.69
225,30.31,69.97,34.63,0,0,0,113.81
307,23.43,35.75,49.52,2,366,0,396.31
234,27.97,18.59,27.64,0,0,0,109.17
172,33.31,70.46,44.81,0,0,0,155.93
152,-9.6,47.68,39.31,1,953,0,334.44
315,34.28,26.57,22.96,1,760,0,387.29
160,0.76,67.39,27.15,0,0,0,82.79
96,35.61,27.69,34.02,2,803,0,506.08
233,3.31,60.34,38.17,0,0,0,69.12
180,12.76,36.74,9.95,2,384,0,361.7
113,36.69,28.15,18.14,1,926,0,407.81
318,-4.51,13.18,34.39,1,622,0,279.56
52,27.26,22.51,21.4,0,0,0,102.36
268,9.62,84.77,27.48,1,613,0,310.62
295,-8.79,46.05,36.31,1,44,0,167.57
113,36.96,77.6,3.62,0,0,0,155.07
101,-4.11,70.84,47.49,1,570,0,280.51
113,28.71,65.37,38.42,2,669,1,410.16
81,9.21,68.95,15.98,2,365,0,375.17
187,30.53,23.41,46.66,1,868,0,379.35
113,27.51,29.73,14.86,0,0,1,70.18
2,21.66,72.28,49.58,0,0,1,63.77
130,36.96,63.43,23.74,2,391,0,415.94
220,-5.05,74.93,22.81,2,536,1,320.5
54,29.93,64.86,28.75,2,436,0,434.44
343,23.54,72.84,46.76,0,0,0,118.95
224,5.74,56.62,49.16,1,67,0,175.24
225,17.3,75.35,11.1,2,240,0,359.21
126,22.23,35.89,11.49,1,22,0,223.29
130,26.81,15.44,20.12,2,981,0,505.8
53,-0.65,26.1,41.43,1,293,0,199.85
172,-4.89,22.14,31.55,1,312,0,212.6
218,-4.9,47.79,7.05,2,212,0,315.71
160,4.69,82.36,26.17,1,979,1,329.34
198,-2.29,34.87,41.85,0,0,0,30.26
247,16.78,51.36,1.25,0,0,0,109.41
324,11.85,75.21,21.58,1,82,0,212.44
203,34.65,79.69,5.88,0,0,0,154.19
184,25.87,32.26,23.6,0,0,0,114.98
123,0.29,51.86,1.79,1,138,0,203.3
255,-7.71,30.51,26.49,2,941,0,427.48
294,25.46,43.56,47.13,1,563,1,277.73
280,32.29,41.39,17.27,0,0,0,147.77
325,25.05,15.13,15.39,1,987,1,339.56
98,22.19,12.19,40.97,0,0,0,77.28
198,2.47,59.43,10.21,0,0,0,78.19
240,14.73,23.74,18.72,1,830,0,353.58
144,26.25,21.87,48.04,2,395,0,382.03
97,-0.33,38.65,32.78,1,963,0,368.86
201,13.83,28.51,33.93,2,516,1,349.02
124,-4.15,69.64,28.39,2,792,0,433.67
187,16.54,61.94,3.81,2,971,0,498.41
326,18.68,86.99,34.26,2,673,0,455.85
349,16.77,42.16,40.33,1,187,0,220.63
259,13.47,12.12,36.39,2,729,0,415.01
148,19.37,77.75,5.69,1,95,0,250.1
252,39.84,19.82,26.55,0,0,0,112.8
346,21.13,31.5,7.1,1,333,0,237.85
147,27.63,60.43,36.49,2,938,1,470.41
148,-0.39,46.93,48.69,0,0,0,78.09
352,16.5,65.35,25.09,2,76,0,314.93
199,-9.62,25.5,7.89,0,0,0,28.91
308,-8.43,56.84,18.96,1,772,0,300.46
128,6.12,46.32,24.06,1,837,1,286.28
39,13.33,56.98,27.34,1,946,0,389.12
338,18.78,80.56,22.84,0,0,0,135.7
360,34.4,52.68,10.41,1,709,0,381.68
129,28.59,69.27,24.87,0,0,0,123.2
267,5.0,69.53,49.69,1,669,0,314.81
151,27.17,62.97,44.09,0,0,0,99.98
298,17.47,48.67,38.19,2,42,0,298.64
99,28.96,10.27,42.36,1,614,0,312.94
263,10.55,19.69,18.63,1,273,0,208.41
252,-5.41,53.45,11.82,0,0,0,51.35
144,20.92,13.51,10.37,1,717,1,276.64
346,17.85,13.62,7.79,0,0,0,86.93
112,37.68,20.09,20.03,0,0,0,133.98
60,-1.89,28.65,41.17,0,0,0,42.27
2,22.81,89.97,35.7,2,673,0,462.21
304,13.7,19.63,45.36,0,0,0,47.08
254,8.95,31.7,12.85,1,493,0,298.31
140,29.73,64.63,43.27,2,405,0,429.01
37,30.53,64.13,31.94,2,671,0,469.27
160,25.73,79.98,25.05,2,172,0,372.05
9,-5.82,58.85,35.46,2,989,0,445.28
233,7.26,31.26,28.75,0,0,0,70.95
99,-7.66,29.14,41.16,2,568,1,288.2
147,7.18,76.39,9.42,2,248,1,293.03
304,22.4,17.82,21.05,2,820,0,458.95
208,15.94,48.47,36.28,2,683,0,438.78
131,25.15,48.63,36.74,0,0,0,102.91
152,17.57,69.12,13.63,0,0,1,70.62
54,17.79,89.64,22.05,0,0,1,83.62
120,15.55,49.7,12.53,0,0,0,115.54
161,8.22,72.03,32.25,2,714,0,434.42
116,12.33,78.12,48.79,1,939,1,357.29
75,-4.38,12.73,24.6,2,608,0,358.61
113,31.73,60.86,26.89,0,0,0,134.12
104,34.46,80.75,29.85,2,226,1,344.31
340,28.31,67.64,47.07,0,0,0,126.94
